timestep;Load continuous;Load discrete;Production continuous;Production discrete;Shedding discrete;Shedding continuous;Dumping continuous;Dumping discrete;up-activation continuous;up-activation discrete;down-activation continuous;down-activation discrete
;;22829.7;;21231.79;6885.954868;;;5287.959697;;0;;0
1; 2 981 ; 2 985 ; 2 993 ; 2 996 ; -   ; -   ; -   ; -   ; 172 ; 140 ; 370 ; 273 
2; 2 880 ; 2 880 ; 2 891 ; 2 891 ; -   ; -   ; -   ; -   ; 137 ; 40 ; 365 ; 321 
3; 2 761 ; 2 759 ; 2 773 ; 2 770 ; -   ; -   ; -   ; -   ; 363 ; 366 ; 247 ; 167 
4; 2 711 ; 2 710 ; 2 722 ; 2 721 ; -   ; -   ; -   ; -   ; 62 ; 52 ; 309 ; 352 
5; 2 693 ; 2 691 ; 2 705 ; 2 702 ; -   ; -   ; -   ; -   ; 57 ; -   ; 345 ; 375 
6; 2 755 ; 2 754 ; 2 766 ; 2 765 ; -   ; -   ; -   ; -   ; 437 ; 461 ; 125 ; 40 
7; 2 861 ; 2 865 ; 2 871 ; 2 875 ; -   ; -   ; -   ; -   ; 104 ; 23 ; 308 ; 367 
8; 2 801 ; 2 808 ; 2 812 ; 2 818 ; -   ; -   ; -   ; -   ; 235 ; 223 ; 190 ; 168 
9; 2 502 ; 2 496 ; 2 516 ; 2 509 ; -   ; -   ; -   ; -   ; 338 ; 293 ; 179 ; 163 
10; 2 298 ; 2 292 ; 2 314 ; 2 307 ; -   ; -   ; -   ; -   ; 312 ; 302 ; 111 ; 81 
11; 2 239 ; 2 239 ; 2 256 ; 2 255 ; -   ; -   ; -   ; -   ; 443 ; 430 ; 64 ; 13 
12; 2 191 ; 2 189 ; 2 208 ; 2 206 ; -   ; -   ; -   ; -   ; 290 ; 228 ; 150 ; 111 
13; 2 193 ; 2 192 ; 2 210 ; 2 209 ; -   ; -   ; -   ; -   ; 269 ; 212 ; 183 ; 143 
14; 2 225 ; 2 223 ; 2 243 ; 2 240 ; -   ; -   ; -   ; -   ; 218 ; 228 ; 135 ; 115 
15; 2 372 ; 2 370 ; 2 390 ; 2 387 ; -   ; -   ; -   ; -   ; 94 ; 32 ; 343 ; 289 
16; 2 759 ; 2 762 ; 2 774 ; 2 776 ; -   ; 1 ; 1 ; -   ; 220 ; 218 ; 334 ; 249 
17; 3 375 ; 3 389 ; 3 380 ; 3 394 ; -   ; 2 ; -   ; -   ; 189 ; 147 ; 378 ; 465 
18; 3 890 ; 3 911 ; 3 883 ; 3 892 ; 21 ; 11 ; -   ; -   ; 492 ; 479 ; 239 ; 219 
19; 3 995 ; 3 999 ; 3 992 ; 3 956 ; 46 ; 6 ; -   ; -   ; 406 ; 374 ; 218 ; 196 
20; 3 949 ; 3 948 ; 3 953 ; 3 947 ; 5 ; -   ; -   ; -   ; 178 ; 90 ; 341 ; 476 
21; 3 866 ; 3 865 ; 3 870 ; 3 868 ; -   ; -   ; -   ; -   ; 565 ; 605 ; 135 ; 87 
22; 3 725 ; 3 723 ; 3 730 ; 3 728 ; -   ; -   ; -   ; -   ; 527 ; 546 ; 219 ; 193 
23; 3 491 ; 3 485 ; 3 498 ; 3 491 ; -   ; -   ; -   ; -   ; 276 ; 300 ; 230 ; 198 
24; 3 250 ; 3 239 ; 3 258 ; 3 247 ; -   ; -   ; -   ; -   ; 50 ; 20 ; 451 ; 444 
; 70 763 ;;;;;;;;;;;
